"Symbol","Name","LastSale","MarketCap","ADR TSO","IPOyear","Sector","Industry","Summary Quote",
"ABT","Abbott Laboratories","55.76","86862704960","n/a","n/a","Consumer Durables","Major Pharmaceuticals","http://www.nasdaq.com/symbol/abt",
"ACN","Accenture plc.","55.81","36120734290","n/a","1986","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/acn",
"ACW","Accuride Corporation New","7.07","334319090","n/a","2005","Capital Goods","Auto Parts:O.E.M.","http://www.nasdaq.com/symbol/acw",
"ACE","Ace Limited","72.67","24504832690","n/a","n/a","Finance","Property-Casualty Insurers","http://www.nasdaq.com/symbol/ace",
"AGRO","Adecoagro S.A.","9.31","1117842390","n/a","1994","Consumer Non-Durables","Farming/Seeds/Milling","http://www.nasdaq.com/symbol/agro",
"ARX","Aeroflex Holding Corp.","13.49","1143803610","n/a","2010","Technology","Semiconductors","http://www.nasdaq.com/symbol/arx",
"ARO","Aeropostale Inc","16.39","1323492500","n/a","2002","Consumer Services","Clothing/Shoe/Accessory Stores","http://www.nasdaq.com/symbol/aro",
"ATI","Allegheny Technologies Incorporated","51.1","5434996000","n/a","n/a","Basic Industries","Steel/Iron Ore","http://www.nasdaq.com/symbol/ati",
"AGN","Allergan, Inc.","87.77","26772658640","n/a","n/a","Consumer Durables","Major Pharmaceuticals","http://www.nasdaq.com/symbol/agn",
"ALE","Allete Inc.","41.33","1520944000","n/a","n/a","Public Utilities","Power Generation","http://www.nasdaq.com/symbol/ale",
"DOX","Amdocs Limited","29.4","5064620400","n/a","n/a","Technology","EDP Services","http://www.nasdaq.com/symbol/dox",
"AEE","Ameren Corporation","31.64","7664473600","n/a","n/a","Public Utilities","Power Generation","http://www.nasdaq.com/symbol/aee",
"AMRC","Ameresco, Inc","13.2","334765200","n/a","2010","Basic Industries","Engineering & Construction","http://www.nasdaq.com/symbol/amrc",
"AGP","AMERIGROUP Corporation","69.59","3328907240","n/a","n/a","Health Care","Hospital And Medical Service Plans","http://www.nasdaq.com/symbol/agp",
"AMP","AMERIPRISE FINANCIAL SERVICES, INC.","54.68","12371623400","n/a","n/a","Finance","Investment Managers","http://www.nasdaq.com/symbol/amp",
"AMP^A","AMERIPRISE FINANCIAL SERVICES, INC.","28.02","224160000","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/amp^a",
"ABC","AmerisourceBergen Corporation (Holding Co)","40.09","10356970870","n/a","n/a","Health Care","Other Pharmaceuticals","http://www.nasdaq.com/symbol/abc",
"AOL","AOL Inc.","15.6","1518550800","n/a","n/a","Technology","EDP Services","http://www.nasdaq.com/symbol/aol",
"APA","Apache Corporation","96.8","37176911200","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/apa",
"APA^D","Apache Corporation","55.38","70055700","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/apa^d",
"ATR","AptarGroup, Inc.","51.55","3405908500","n/a","n/a","Consumer Non-Durables","Plastic Products","http://www.nasdaq.com/symbol/atr",
"MT","ArcelorMittal","21.08","1673752000","n/a","n/a","Basic Industries","Steel/Iron Ore","http://www.nasdaq.com/symbol/mt",
"AZZ","AZZ Incorporated","47.67","599831610","n/a","n/a","Consumer Durables","Building Products","http://www.nasdaq.com/symbol/azz",
"BBX","BankAtlantic Bancorp, Inc.","3.13","48311550","n/a","n/a","Finance","Savings Institutions","http://www.nasdaq.com/symbol/bbx",
"RATE","Bankrate Inc.","22.99","2298885050","n/a","n/a","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/rate",
"BKU","BankUnited Inc.","22.71","2209319640","n/a","2011","Finance","Savings Institutions","http://www.nasdaq.com/symbol/bku",
"BCS","Barclays PLC","13.95","1351601550","n/a","n/a","Finance","Commercial Banks","http://www.nasdaq.com/symbol/bcs",
"BWA","BorgWarner Inc.","74.88","8215833600","n/a","1993","Capital Goods","Auto Parts:O.E.M.","http://www.nasdaq.com/symbol/bwa",
"SAM","Boston Beer Company, Inc. (The)","99.97","862641130","n/a","n/a","Consumer Non-Durables","Beverages (Production/Distribution)","http://www.nasdaq.com/symbol/sam",
"BMY","Bristol-Myers Squibb Company","32.65","55145850000","n/a","n/a","Consumer Durables","Major Pharmaceuticals","http://www.nasdaq.com/symbol/bmy",
"BMY^","Bristol-Myers Squibb Company","570.1","3420600","n/a","n/a","Consumer Durables","Major Pharmaceuticals","http://www.nasdaq.com/symbol/bmy^",
"CJES","C&J Energy Services, Inc.","17.52","909060240","n/a","n/a","Energy","Oilfield Services/Equipment","http://www.nasdaq.com/symbol/cjes",
"BLW","Citigroup Inc.","16.66","615087200","n/a","2003","Finance","Major Banks","http://www.nasdaq.com/symbol/blw",
"C","Citigroup Inc.","29.64","86658705120","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/c",
"C/WS/A","Citigroup Inc.","0.349","0","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/c/ws/a",
"C/WS/B","Citigroup Inc.","0.069","0","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/c/ws/b",
"C^Z","Citigroup Inc.","24.52","1324080000","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/c^z",
"KO","Coca-Cola Company (The)","68.09","154648186880","n/a","n/a","Consumer Non-Durables","Beverages (Production/Distribution)","http://www.nasdaq.com/symbol/ko",
"CCE","Coca-Cola Enterprises, Inc.","26.59","8296505440","n/a","1986","Consumer Non-Durables","Beverages (Production/Distribution)","http://www.nasdaq.com/symbol/cce",
"CL","Colgate-Palmolive Company","89","43075911000","n/a","n/a","Consumer Non-Durables","Package Goods/Cosmetics","http://www.nasdaq.com/symbol/cl",
"CMRE","Costamare Inc.","15.67","944901000","n/a","2010","Transportation","Marine Transportation","http://www.nasdaq.com/symbol/cmre",
