Week, infosys, infosys (std error)
Jan 4 2004, 1.24, 10%
Jan 11 2004, 1.16, 10%
Jan 18 2004, 0.96, 10%
Jan 25 2004, 0.96, 10%
Feb 1 2004, 1.00, 10%
Feb 8 2004, 1.04, 10%
Feb 15 2004, 1.16, 10%
Feb 22 2004, 1.06, 10%
Feb 29 2004, 1.02, 10%
Mar 7 2004, 0.86, >10%
Mar 14 2004, 0.94, 10%
Mar 21 2004, 0.80, 10%
Mar 28 2004, 1.16, 10%
Apr 4 2004, 1.42, 10%
Apr 11 2004, 2.26, 10%
Apr 18 2004, 1.36, 5%
Apr 25 2004, 1.26, 10%
May 2 2004, 1.00, 10%
May 9 2004, 1.10, 10%
May 16 2004, 1.04, 10%
May 23 2004, 1.00, 10%
May 30 2004, 0.92, 10%
Jun 6 2004, 1.00, 10%
Jun 13 2004, 1.14, 10%
Jun 20 2004, 1.28, 10%
Jun 27 2004, 1.30, 10%
Jul 4 2004, 1.22, 10%
Jul 11 2004, 1.32, 10%
Jul 18 2004, 1.40, 5%
Jul 25 2004, 1.34, 10%
Aug 1 2004, 1.38, 10%
Aug 8 2004, 1.30, 10%
Aug 15 2004, 1.20, 10%
Aug 22 2004, 1.18, 10%
Aug 29 2004, 1.10, 10%
Sep 5 2004, 1.22, 10%
Sep 12 2004, 1.00, 10%
Sep 19 2004, 1.02, 10%
Sep 26 2004, 1.06, 10%
Oct 3 2004, 1.02, 10%
Oct 10 2004, 1.30, 10%
Oct 17 2004, 0.96, 10%
Oct 24 2004, 1.00, 10%
Oct 31 2004, 0.94, 10%
Nov 7 2004, 0.80, 10%
Nov 14 2004, 1.00, 10%
Nov 21 2004, 0.94, 10%
Nov 28 2004, 0.86, 10%
Dec 5 2004, 0.94, 10%
Dec 12 2004, 0.96, 10%
Dec 19 2004, 1.10, 10%
Dec 26 2004, 0.88, 10%
Jan 2 2005, 0.86, 10%
Jan 9 2005, 1.10, 5%
Jan 16 2005, 0.94, 10%
Jan 23 2005, 1.00, 5%
Jan 30 2005, 1.12, 5%
Feb 6 2005, 1.02, 10%
Feb 13 2005, 0.88, 10%
Feb 20 2005, 0.94, 10%
Feb 27 2005, 0.88, 10%
Mar 6 2005, 0.92, 10%
Mar 13 2005, 0.92, 10%
Mar 20 2005, 0.78, 10%
Mar 27 2005, 0.82, 10%
Apr 3 2005, 0.94, 10%
Apr 10 2005, 1.18, 5%
Apr 17 2005, 0.92, 5%
Apr 24 2005, 0.96, 5%
May 1 2005, 0.96, 5%
May 8 2005, 1.00, 5%
May 15 2005, 0.98, 5%
May 22 2005, 0.96, 5%
May 29 2005, 1.00, 5%
Jun 5 2005, 1.08, 5%
Jun 12 2005, 1.08, 5%
Jun 19 2005, 1.14, 5%
Jun 26 2005, 1.10, 5%
Jul 3 2005, 1.06, 5%
Jul 10 2005, 1.54, 5%
Jul 17 2005, 1.28, 5%
Jul 24 2005, 1.08, 5%
Jul 31 2005, 1.12, 5%
Aug 7 2005, 1.10, 5%
Aug 14 2005, 0.94, 5%
Aug 21 2005, 1.08, 5%
Aug 28 2005, 1.12, 5%
Sep 4 2005, 1.08, 5%
Sep 11 2005, 0.96, 5%
Sep 18 2005, 0.96, 5%
Sep 25 2005, 1.08, 5%
Oct 2 2005, 1.10, 5%
Oct 9 2005, 1.02, 5%
Oct 16 2005, 1.02, 5%
Oct 23 2005, 0.92, 5%
Oct 30 2005, 0.70, 10%
Nov 6 2005, 0.86, 5%
Nov 13 2005, 0.92, 5%
Nov 20 2005, 0.90, 5%
Nov 27 2005, 0.90, 5%
Dec 4 2005, 1.00, 5%
Dec 11 2005, 0.90, 5%
Dec 18 2005, 0.96, 5%
Dec 25 2005, 0.96, 5%
Jan 1 2006, 0.96, 5%
Jan 8 2006, 1.14, 5%
Jan 15 2006, 1.00, 5%
Jan 22 2006, 0.88, 5%
Jan 29 2006, 0.92, 5%
Feb 5 2006, 0.94, 5%
Feb 12 2006, 1.04, 5%
Feb 19 2006, 0.94, 5%
Feb 26 2006, 0.90, 5%
Mar 5 2006, 0.92, 5%
Mar 12 2006, 1.10, 5%
Mar 19 2006, 1.06, 5%
Mar 26 2006, 1.08, 5%
Apr 2 2006, 1.26, 5%
Apr 9 2006, 1.48, 5%
Apr 16 2006, 1.40, 5%
Apr 23 2006, 1.14, 5%
Apr 30 2006, 1.08, 5%
May 7 2006, 0.98, 5%
May 14 2006, 1.06, 5%
May 21 2006, 1.10, 5%
May 28 2006, 1.00, 5%
Jun 4 2006, 1.20, 5%
Jun 11 2006, 1.34, 5%
Jun 18 2006, 1.26, 5%
Jun 25 2006, 1.20, 5%
Jul 2 2006, 1.34, 5%
Jul 9 2006, 1.68, 3%
Jul 16 2006, 1.48, 5%
Jul 23 2006, 1.32, 5%
Jul 30 2006, 1.70, 3%
Aug 6 2006, 1.20, 5%
Aug 13 2006, 1.06, 5%
Aug 20 2006, 1.34, 5%
Aug 27 2006, 1.08, 5%
Sep 3 2006, 1.12, 5%
Sep 10 2006, 1.02, 5%
Sep 17 2006, 1.02, 5%
Sep 24 2006, 0.94, 5%
Oct 1 2006, 0.84, 5%
